# magnetic field properties from GOURDON field-line tracing
#
# c_mirror = ( B_max - B_min ) / ( 2 B_av )
# arc length and integral dl/B for 1 toroidal transit
#
# field   R_start           Z_start           iota              B_start           B_min             B_max             B_av              c_mirror          arc length        integral dl/B
# line    / m               / m                                 / T               / T               / T               / T                                 / m               /  m T^-1
    1     1.0018042530E+00  0.0000000000E+00  4.9184642403E-01  9.9821469430E-01  9.9638145352E-01  1.0035849905E+00  1.0000144208E+00  3.6017165416E-03  6.2828010480E+00  6.2827614223E+00
    2     1.0045608200E+00  0.0000000000E+00  4.9209556740E-01  9.9555991812E-01  9.9071548317E-01  1.0090663110E+00  1.0000958253E+00  9.1745347851E-03  6.2824292505E+00  6.2821584881E+00
    3     1.0072971615E+00  0.0000000000E+00  4.9258213348E-01  9.9301109200E-01  9.8491895160E-01  1.0145114417E+00  1.0002606702E+00  1.4792389093E-02  6.2816582575E+00  6.2808832374E+00
    4     1.0100082599E+00  0.0000000000E+00  4.9330989303E-01  9.9057009572E-01  9.7899660786E-01  1.0199085361E+00  1.0004939675E+00  2.0445864511E-02  6.2805844102E+00  6.2791319102E+00
    5     1.0126886508E+00  0.0000000000E+00  4.9428092174E-01  9.8823865707E-01  9.7295412172E-01  1.0252437886E+00  1.0008075326E+00  2.6123737651E-02  6.2791376335E+00  6.2767666699E+00
    6     1.0153323805E+00  0.0000000000E+00  4.9553110473E-01  9.8601834225E-01  9.6679864336E-01  1.0305013994E+00  1.0011743851E+00  3.1814016094E-02  6.2774872993E+00  6.2741272757E+00
    7     1.0179331226E+00  0.0000000000E+00  4.9704450266E-01  9.8391041861E-01  9.6053777901E-01  1.0356641846E+00  1.0016253771E+00  3.7502247499E-02  6.2754405648E+00  6.2708337767E+00
    8     1.0204845145E+00  0.0000000000E+00  4.9884133941E-01  9.8191557467E-01  9.5417685611E-01  1.0407164697E+00  1.0021467392E+00  4.3177116785E-02  6.2730849276E+00  6.2670553553E+00
    9     1.0204845145E+00  0.0000000000E+00  4.9884133941E-01  9.8191557467E-01  9.5417685611E-01  1.0407164697E+00  1.0021467392E+00  4.3177116785E-02  6.2730849276E+00  6.2670553553E+00
   10     1.0227284581E+00  0.0000000000E+00  5.0071304610E-01  9.8022061195E-01  9.4841923343E-01  1.0451178630E+00  1.0026758609E+00  4.8220284019E-02  6.2706956332E+00  6.2632289585E+00
   11     1.0249724017E+00  0.0000000000E+00  5.0288857309E-01  9.7858105817E-01  9.4242702396E-01  1.0495218287E+00  1.0032881997E+00  5.3371904905E-02  6.2679125976E+00  6.2587574356E+00
   12     1.0272163452E+00  0.0000000000E+00  5.0540066138E-01  9.7699666446E-01  9.3622555259E-01  1.0538849961E+00  1.0038845138E+00  5.8602081162E-02  6.2653678133E+00  6.2549003651E+00
   13     1.0294602888E+00  0.0000000000E+00  5.0828972019E-01  9.7546719487E-01  9.2977902810E-01  1.0582042073E+00  1.0046141900E+00  6.3917661348E-02  6.2621308456E+00  6.2498174420E+00
   14     1.0317042324E+00  0.0000000000E+00  5.1163243840E-01  9.7399242609E-01  9.2305165019E-01  1.0624680187E+00  1.0053742131E+00  6.9335560196E-02  6.2588628740E+00  6.2448466070E+00
   15     1.0339481759E+00  0.0000000000E+00  5.1548729484E-01  9.7257214718E-01  9.1599644210E-01  1.0666622138E+00  1.0061626117E+00  7.4871481957E-02  6.2555924017E+00  6.2400586766E+00
   16     1.0361921195E+00  0.0000000000E+00  5.1997050123E-01  9.7120615935E-01  9.0854545215E-01  1.0707694582E+00  1.0070726589E+00  8.0542354434E-02  6.2517462369E+00  6.2343447732E+00
   17     1.0384360631E+00  0.0000000000E+00  5.2518900092E-01  9.6989427569E-01  9.0059077373E-01  1.0750290180E+00  1.0079794845E+00  8.6528667996E-02  6.2481421765E+00  6.2293787947E+00
   18     1.0406800066E+00  0.0000000000E+00  5.3134169455E-01  9.6863632089E-01  8.9192766468E-01  1.0798456883E+00  1.0090370732E+00  9.3117502143E-02  6.2438514050E+00  6.2233211537E+00
   19     1.0429239502E+00  0.0000000000E+00  5.3893150840E-01  9.6743213103E-01  8.8199891730E-01  1.0854786980E+00  1.0100563585E+00  1.0072694411E-01  6.2401747523E+00  6.2189371557E+00
   20     1.0451678938E+00  0.0000000000E+00  5.5557104706E-01  9.6628155335E-01  8.6396099227E-01  1.1032024402E+00  1.0119512345E+00  1.1820799253E-01  6.2337194959E+00  6.2121608316E+00
   21     1.0474118373E+00  0.0000000000E+00  5.5555578846E-01  9.6518444596E-01  8.8461191702E-01  1.0961055341E+00  1.0119701968E+00  1.0449597119E-01  6.2340921126E+00  6.2134193318E+00
   22     1.0496557809E+00  0.0000000000E+00  5.6509519015E-01  9.6414067769E-01  8.5936432206E-01  1.1049739502E+00  1.0128804884E+00  1.2124314316E-01  6.2306764256E+00  6.2093504092E+00
   23     1.0518997245E+00  0.0000000000E+00  5.8824304379E-01  9.6315012778E-01  8.3465500754E-01  1.1149874020E+00  1.0145922510E+00  1.3815027375E-01  6.2262175032E+00  6.2079462033E+00
